customer_id,timestamp,message_1,message_2,message_3,status
C77809,2025-02-26T00:16:29.199487,What is the status of my order?,Where is my order?,"My order is delayed, can you help?",unresolved
C36263,2025-03-02T08:23:29.199529,"My app keeps crashing, what should I do?",I'm unable to log into my account.,I'm getting a 404 error on your website.,pending
C50946,2025-03-15T18:17:29.199560,I'm getting a 404 error on your website.,How can I reset my password?,The website is too slow.,pending
C78750,2025-03-22T23:54:29.199576,I need to change my delivery address.,What is the status of my order?,When will I receive my order?,unresolved
C77867,2025-02-26T03:01:29.199589,What is your return policy?,How do I update my profile information?,Do you offer international shipping?,unresolved
C38036,2025-02-25T18:42:29.199600,I'm unable to log into my account.,The website is too slow.,How can I reset my password?,resolved
C63616,2025-03-15T03:33:29.199610,Do you have a loyalty program?,How can I contact customer service?,What is your return policy?,pending
C32048,2025-03-24T14:00:29.199623,"My order is delayed, can you help?",When will I receive my order?,Where is my order?,pending
C11950,2025-02-25T07:15:29.199637,What is the status of my order?,Where is my order?,"My order is delayed, can you help?",resolved
C24897,2025-02-25T19:43:29.199648,"My payment failed, what should I do?",I applied a coupon but it's not working.,Can I change my payment method?,unresolved
C94720,2025-03-04T22:07:29.199658,How do I update my profile information?,What is your return policy?,Do you offer international shipping?,pending
C33536,2025-03-04T09:45:29.199668,"My payment failed, what should I do?","I was charged twice, how can I get a refund?",I applied a coupon but it's not working.,resolved
C54739,2025-03-14T19:42:29.199678,"My order is delayed, can you help?",I need to change my delivery address.,Where is my order?,resolved
C13189,2025-03-06T09:22:29.199687,I'm getting a 404 error on your website.,How can I reset my password?,The website is too slow.,pending
C19301,2025-03-17T07:11:29.199696,Where is my order?,When will I receive my order?,What is the status of my order?,pending
C45175,2025-03-22T13:47:29.199705,"My order is delayed, can you help?",Where is my order?,I need to change my delivery address.,pending
C87913,2025-03-24T11:40:29.199714,How do I update my profile information?,What is your return policy?,Do you offer international shipping?,resolved
C54842,2025-03-16T18:11:29.199724,Do you offer international shipping?,How can I contact customer service?,Do you have a loyalty program?,unresolved
C54205,2025-02-23T13:45:29.199733,Can I change my payment method?,Why was my payment declined?,"I was charged twice, how can I get a refund?",pending
C15521,2025-03-22T19:45:29.199743,I'm unable to log into my account.,"My app keeps crashing, what should I do?",I'm getting a 404 error on your website.,unresolved
C20331,2025-03-14T01:18:29.199752,I applied a coupon but it's not working.,"I was charged twice, how can I get a refund?","My payment failed, what should I do?",unresolved
C13805,2025-03-14T08:46:29.199762,The website is too slow.,I'm unable to log into my account.,I'm getting a 404 error on your website.,resolved
C74342,2025-03-12T21:34:29.199772,What is your return policy?,How do I update my profile information?,Do you have a loyalty program?,unresolved
C33881,2025-03-18T23:40:29.199781,When will I receive my order?,Where is my order?,What is the status of my order?,resolved
C58653,2025-03-03T16:27:29.199790,The website is too slow.,I'm getting a 404 error on your website.,I'm unable to log into my account.,unresolved
C23078,2025-02-28T09:51:29.199799,How can I reset my password?,I'm getting a 404 error on your website.,The website is too slow.,unresolved
C60589,2025-03-08T04:34:29.199808,"I was charged twice, how can I get a refund?",Can I change my payment method?,I applied a coupon but it's not working.,resolved
C12160,2025-03-08T18:33:29.199817,Do you have a loyalty program?,What is your return policy?,Do you offer international shipping?,pending
C96969,2025-02-27T03:58:29.199837,I'm unable to log into my account.,How can I reset my password?,I'm getting a 404 error on your website.,resolved
C32880,2025-02-26T07:26:29.199846,"I was charged twice, how can I get a refund?",Why was my payment declined?,I applied a coupon but it's not working.,resolved
C26054,2025-03-20T07:25:29.199857,I applied a coupon but it's not working.,"My payment failed, what should I do?",Can I change my payment method?,pending
C10259,2025-03-21T07:08:29.199866,What is the status of my order?,When will I receive my order?,I need to change my delivery address.,resolved
C33295,2025-03-24T13:33:29.199876,How do I update my profile information?,How can I contact customer service?,Do you offer international shipping?,resolved
C82310,2025-02-26T03:09:29.199885,How can I reset my password?,I'm unable to log into my account.,"My app keeps crashing, what should I do?",pending
C56030,2025-03-23T16:01:29.199894,Why was my payment declined?,Can I change my payment method?,"My payment failed, what should I do?",pending
C80608,2025-03-11T09:02:29.199903,"My payment failed, what should I do?",I applied a coupon but it's not working.,Can I change my payment method?,resolved
C24992,2025-03-11T22:21:29.199914,I'm getting a 404 error on your website.,"My app keeps crashing, what should I do?",I'm unable to log into my account.,pending
C44787,2025-03-18T19:56:29.199929,Do you offer international shipping?,How can I contact customer service?,How do I update my profile information?,unresolved
C61868,2025-03-13T01:03:29.199943,What is the status of my order?,Where is my order?,I need to change my delivery address.,pending
C79006,2025-03-22T14:51:29.199953,Do you offer international shipping?,How do I update my profile information?,How can I contact customer service?,unresolved
C76884,2025-03-02T07:14:29.199963,"My payment failed, what should I do?","I was charged twice, how can I get a refund?",Can I change my payment method?,resolved
C10811,2025-02-23T16:14:29.199977,What is the status of my order?,I need to change my delivery address.,"My order is delayed, can you help?",pending
C69768,2025-03-13T22:37:29.199992,When will I receive my order?,What is the status of my order?,"My order is delayed, can you help?",resolved
C58199,2025-03-18T14:52:29.200001,Do you offer international shipping?,Do you have a loyalty program?,How do I update my profile information?,pending
C77693,2025-02-28T19:10:29.200010,The website is too slow.,"My app keeps crashing, what should I do?",How can I reset my password?,pending
C60654,2025-02-25T18:52:29.200019,Can I change my payment method?,"I was charged twice, how can I get a refund?",Why was my payment declined?,unresolved
C33533,2025-02-23T15:06:29.200029,"My app keeps crashing, what should I do?",The website is too slow.,I'm getting a 404 error on your website.,unresolved
C67400,2025-03-17T05:17:29.200043,I'm unable to log into my account.,I'm getting a 404 error on your website.,The website is too slow.,resolved
C64349,2025-03-17T06:54:29.200053,What is the status of my order?,I need to change my delivery address.,"My order is delayed, can you help?",pending
C93782,2025-03-06T19:19:29.200063,Do you have a loyalty program?,What is your return policy?,How do I update my profile information?,resolved
C75202,2025-03-04T03:44:29.200072,I applied a coupon but it's not working.,Why was my payment declined?,"I was charged twice, how can I get a refund?",unresolved
C56908,2025-03-03T01:11:29.200082,The website is too slow.,I'm getting a 404 error on your website.,How can I reset my password?,resolved
C29679,2025-03-08T00:50:29.200091,I'm getting a 404 error on your website.,The website is too slow.,How can I reset my password?,unresolved
C28431,2025-03-04T18:37:29.200102,I'm unable to log into my account.,How can I reset my password?,The website is too slow.,resolved
C65722,2025-03-20T08:06:29.200117,"My app keeps crashing, what should I do?",I'm getting a 404 error on your website.,How can I reset my password?,pending
C98021,2025-03-15T21:11:29.200132,I need to change my delivery address.,Where is my order?,When will I receive my order?,pending
C16911,2025-02-27T06:37:29.200152,I need to change my delivery address.,When will I receive my order?,Where is my order?,pending
C59906,2025-02-26T07:44:29.200161,What is the status of my order?,"My order is delayed, can you help?",When will I receive my order?,pending
C16939,2025-02-24T21:56:29.200170,I need to change my delivery address.,When will I receive my order?,Where is my order?,pending
C89119,2025-03-01T17:09:29.200179,"I was charged twice, how can I get a refund?",I applied a coupon but it's not working.,"My payment failed, what should I do?",resolved
C15691,2025-03-14T08:52:29.200189,Where is my order?,When will I receive my order?,"My order is delayed, can you help?",resolved
C47532,2025-02-27T13:55:29.200198,"My order is delayed, can you help?",Where is my order?,I need to change my delivery address.,pending
C58568,2025-03-01T10:15:29.200208,What is the status of my order?,I need to change my delivery address.,When will I receive my order?,unresolved
C32654,2025-02-25T05:37:29.200217,Can I change my payment method?,Why was my payment declined?,"My payment failed, what should I do?",pending
C23865,2025-02-23T16:50:29.200226,What is your return policy?,How do I update my profile information?,Do you have a loyalty program?,resolved
C66989,2025-03-03T01:49:29.200240,Why was my payment declined?,"My payment failed, what should I do?",I applied a coupon but it's not working.,unresolved
C88362,2025-03-09T18:31:29.200249,Why was my payment declined?,"I was charged twice, how can I get a refund?",I applied a coupon but it's not working.,pending
C25807,2025-03-01T23:23:29.200258,"I was charged twice, how can I get a refund?",Can I change my payment method?,I applied a coupon but it's not working.,resolved
C48276,2025-03-16T13:50:29.200267,"My app keeps crashing, what should I do?",I'm unable to log into my account.,The website is too slow.,unresolved
C44508,2025-02-27T00:36:29.200277,Do you offer international shipping?,Do you have a loyalty program?,How can I contact customer service?,pending
C10874,2025-03-23T18:41:29.200286,I need to change my delivery address.,What is the status of my order?,"My order is delayed, can you help?",resolved
C30341,2025-03-02T19:51:29.200298,Where is my order?,What is the status of my order?,When will I receive my order?,pending
C19158,2025-03-07T17:09:29.200308,Do you offer international shipping?,Do you have a loyalty program?,How can I contact customer service?,unresolved
C19426,2025-02-26T16:29:29.200317,Can I change my payment method?,I applied a coupon but it's not working.,"I was charged twice, how can I get a refund?",unresolved
C25634,2025-03-07T00:57:29.200327,"My order is delayed, can you help?",Where is my order?,When will I receive my order?,resolved
C24829,2025-03-18T02:27:29.200336,"My payment failed, what should I do?",I applied a coupon but it's not working.,"I was charged twice, how can I get a refund?",pending
C82270,2025-03-13T18:29:29.200346,When will I receive my order?,I need to change my delivery address.,"My order is delayed, can you help?",resolved
C34211,2025-03-19T06:37:29.200356,"My order is delayed, can you help?",Where is my order?,I need to change my delivery address.,resolved
C98513,2025-03-14T10:48:29.200458,"I was charged twice, how can I get a refund?",Why was my payment declined?,Can I change my payment method?,pending
C59998,2025-03-08T06:36:29.200470,I'm getting a 404 error on your website.,The website is too slow.,"My app keeps crashing, what should I do?",unresolved
C12896,2025-03-05T21:18:29.200480,What is the status of my order?,Where is my order?,I need to change my delivery address.,unresolved
C46448,2025-03-17T20:30:29.200489,"My app keeps crashing, what should I do?",I'm unable to log into my account.,I'm getting a 404 error on your website.,unresolved
C17142,2025-03-20T12:01:29.200498,Where is my order?,"My order is delayed, can you help?",What is the status of my order?,unresolved
C51516,2025-02-28T00:06:29.200513,Do you offer international shipping?,What is your return policy?,How do I update my profile information?,unresolved
C39246,2025-03-07T12:03:29.200522,How can I contact customer service?,Do you offer international shipping?,What is your return policy?,resolved
C28636,2025-03-13T15:03:29.200531,I need to change my delivery address.,Where is my order?,When will I receive my order?,pending
C47373,2025-03-06T15:44:29.200540,When will I receive my order?,What is the status of my order?,I need to change my delivery address.,pending
C84910,2025-03-17T14:05:29.200551,What is your return policy?,Do you offer international shipping?,Do you have a loyalty program?,pending
C77959,2025-02-28T06:00:29.200566,When will I receive my order?,"My order is delayed, can you help?",I need to change my delivery address.,pending
C15174,2025-02-28T02:20:29.200580,I applied a coupon but it's not working.,Can I change my payment method?,"I was charged twice, how can I get a refund?",pending
C98964,2025-03-24T16:40:29.200589,What is the status of my order?,I need to change my delivery address.,"My order is delayed, can you help?",unresolved
C15837,2025-02-28T04:20:29.200599,I'm unable to log into my account.,The website is too slow.,"My app keeps crashing, what should I do?",resolved
C67254,2025-03-17T12:04:29.200609,"My order is delayed, can you help?",When will I receive my order?,Where is my order?,unresolved
C43030,2025-02-24T06:00:29.200625,Can I change my payment method?,"My payment failed, what should I do?",I applied a coupon but it's not working.,resolved
C16552,2025-03-06T02:18:29.200640,I'm unable to log into my account.,I'm getting a 404 error on your website.,"My app keeps crashing, what should I do?",resolved
C61710,2025-03-08T11:20:29.200654,How can I contact customer service?,Do you offer international shipping?,What is your return policy?,pending
C34802,2025-03-05T00:16:29.200663,Do you have a loyalty program?,How can I contact customer service?,What is your return policy?,unresolved
C45789,2025-03-03T11:58:29.200674,What is your return policy?,How do I update my profile information?,Do you offer international shipping?,unresolved
C79153,2025-03-08T20:35:29.200683,What is your return policy?,Do you offer international shipping?,How do I update my profile information?,unresolved
C37823,2025-03-02T02:14:29.200691,I'm unable to log into my account.,The website is too slow.,How can I reset my password?,pending
